test_id,scenario,notes,run_mode,elapsed_ms,attempt,command_samples,command_successes,command_failures,command_latency_ms_avg,command_latency_ms_min,command_latency_ms_max,last_command_latency_ms,last_command_elapsed_ms,last_command_age_ms,command_attempt_count,command_retry_count,command_timeout_count,command_client_total_ms,command_ensure_sdk_ms,command_executor_total_ms,command_send_ms,command_recv_wait_ms,command_parse_ms,command_executor_recv_wait_total_ms,command_executor_internal_total_ms,command_recovery_ms,command_executor_calls,command_recovery_count,last_command,last_response,last_command_result,command_source,command_executor_last_error,command_executor_attempt_log,command_internal_attempt_log,telemetry_packets_total,telemetry_packets_valid,telemetry_packets_invalid,telemetry_timeouts,telemetry_errors,telemetry_hz_instant,telemetry_hz_ema,telemetry_age_ms,telemetry_interarrival_ms,telemetry_max_interarrival_ms,telemetry_last_gap_ms,telemetry_last_gap_sequence,telemetry_gap_events_300ms,telemetry_gap_events_500ms,telemetry_gap_events_1000ms,telemetry_quality,telemetry_quality_score,telemetry_state_available,telemetry_h,telemetry_tof,telemetry_baro,telemetry_vgz,telemetry_bat,telemetry_templ,telemetry_temph,video_packets_total,video_bytes_total,video_timeouts,video_errors,video_pps_instant,video_pps_ema,video_age_ms,video_packet_delta,video_interarrival_ms,video_max_interarrival_ms,video_last_gap_ms,video_last_gap_sequence,video_gap_events_300ms,video_gap_events_500ms,video_gap_events_1000ms,video_quality,video_quality_score,link_quality,link_quality_score,link_safe_for_nonzero_rc,link_quality_reason,link_telemetry_quality,link_video_quality,link_command_quality,link_rc_quality,rc_packet_gap_ms,rc_expected_period_ms,rc_blackout_count,rc_last_nonzero_age_ms,rc_safety_override_active,decoder_frames_decoded,decoder_errors,decoder_fps_ema,frame_width,frame_height,keyframes,paused,overlay_enabled,recovery_attempted,recovery_result,recovery_hard,recovery_stage,recovery_command_channel_available,event,log_timestamp,log_message,connection_state,last_outage_failures,plot_metric,state_sequence_delta,state_receiver_running,rc_stream_active,rc_left_right,rc_forward_back,rc_up_down,rc_yaw,keepalive_running,auto_refresh_active,critical_command_active,pause_keepalive_ms,neutral_rc_ms,critical_command_ms,gui_vision_tick_delay_ms,gui_state_tick_delay_ms,vision_refresh_duration_ms,state_refresh_duration_ms,frame_convert_ms,frame_scale_ms,plot_paint_ms,vision_frame_mutex_wait_ms,state_history_fetch_ms,command_mutex_wait_ms,ui_frames_converted,ui_frames_dropped,ui_frames_displayed,plot_samples_displayed,keepalive_tick_total,keepalive_success_total,keepalive_failure_total,keepalive_skipped_busy_total,keepalive_skipped_uninitialized_total,keepalive_last_command,keepalive_last_response,keepalive_last_result,keepalive_last_latency_ms,keepalive_last_success_age_ms,keepalive_last_tick_age_ms
E9-WIFI-LOSS-R03,wifi-reconnect,host Wi-Fi reconnect repetition 3 of 3,WATCH,92,1,1,1,0,92,92,92,92,92,0,1,0,0,92,41,51,0,51,0,51,51,0,1,0,battery?,31,OK,cli-watch,,attempt=1|send=OK|raw=31|parsed=OK,executor_call=1|command=battery?|result=OK|response=31|elapsed_ms=51|timing_total_ms=51|recv_wait_ms=51|attempt_log=[attempt=1|send=OK|raw=31|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E9-WIFI-LOSS-R03,wifi-reconnect,host Wi-Fi reconnect repetition 3 of 3,WATCH,1112,2,2,2,0,55.5,19,92,19,1112,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,31,OK,cli-watch,,attempt=1|send=OK|raw=31|parsed=OK,executor_call=1|command=battery?|result=OK|response=31|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=31|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E9-WIFI-LOSS-R03,wifi-reconnect,host Wi-Fi reconnect repetition 3 of 3,WATCH,2133,3,3,3,0,43.6667,19,92,20,2133,0,1,0,0,20,0,20,0,20,0,20,20,0,1,0,battery?,30,OK,cli-watch,,attempt=1|send=OK|raw=30|parsed=OK,executor_call=1|command=battery?|result=OK|response=30|elapsed_ms=20|timing_total_ms=20|recv_wait_ms=20|attempt_log=[attempt=1|send=OK|raw=30|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E9-WIFI-LOSS-R03,wifi-reconnect,host Wi-Fi reconnect repetition 3 of 3,WATCH,3153,4,4,4,0,37.5,19,92,19,3153,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,30,OK,cli-watch,,attempt=1|send=OK|raw=30|parsed=OK,executor_call=1|command=battery?|result=OK|response=30|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=30|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E9-WIFI-LOSS-R03,wifi-reconnect,host Wi-Fi reconnect repetition 3 of 3,WATCH,4172,5,5,5,0,33.8,19,92,19,4172,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,30,OK,cli-watch,,attempt=1|send=OK|raw=30|parsed=OK,executor_call=1|command=battery?|result=OK|response=30|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=30|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E9-WIFI-LOSS-R03,wifi-reconnect,host Wi-Fi reconnect repetition 3 of 3,WATCH,5192,6,6,6,0,31.3333,19,92,19,5192,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,30,OK,cli-watch,,attempt=1|send=OK|raw=30|parsed=OK,executor_call=1|command=battery?|result=OK|response=30|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=30|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E9-WIFI-LOSS-R03,wifi-reconnect,host Wi-Fi reconnect repetition 3 of 3,WATCH,6213,7,7,7,0,29.7143,19,92,20,6213,0,1,0,0,20,0,20,0,20,0,20,20,0,1,0,battery?,30,OK,cli-watch,,attempt=1|send=OK|raw=30|parsed=OK,executor_call=1|command=battery?|result=OK|response=30|elapsed_ms=20|timing_total_ms=20|recv_wait_ms=20|attempt_log=[attempt=1|send=OK|raw=30|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E9-WIFI-LOSS-R03,wifi-reconnect,host Wi-Fi reconnect repetition 3 of 3,WATCH,7234,8,8,8,0,28.375,19,92,19,7234,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,30,OK,cli-watch,,attempt=1|send=OK|raw=30|parsed=OK,executor_call=1|command=battery?|result=OK|response=30|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=30|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E9-WIFI-LOSS-R03,wifi-reconnect,host Wi-Fi reconnect repetition 3 of 3,WATCH,8254,9,9,9,0,27.3333,19,92,19,8254,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,30,OK,cli-watch,,attempt=1|send=OK|raw=30|parsed=OK,executor_call=1|command=battery?|result=OK|response=30|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=30|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E9-WIFI-LOSS-R03,wifi-reconnect,host Wi-Fi reconnect repetition 3 of 3,WATCH,9274,10,10,10,0,26.6,19,92,20,9274,0,1,0,0,20,0,20,0,20,0,20,20,0,1,0,battery?,30,OK,cli-watch,,attempt=1|send=OK|raw=30|parsed=OK,executor_call=1|command=battery?|result=OK|response=30|elapsed_ms=20|timing_total_ms=20|recv_wait_ms=20|attempt_log=[attempt=1|send=OK|raw=30|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
