test_id,scenario,notes,run_mode,elapsed_ms,attempt,command_samples,command_successes,command_failures,command_latency_ms_avg,command_latency_ms_min,command_latency_ms_max,last_command,last_response,last_command_result,command_source,command_executor_last_error,command_executor_attempt_log,telemetry_packets_total,telemetry_packets_valid,telemetry_packets_invalid,telemetry_timeouts,telemetry_errors,telemetry_hz_instant,telemetry_hz_ema,telemetry_age_ms,telemetry_interarrival_ms,telemetry_max_interarrival_ms,telemetry_last_gap_ms,telemetry_last_gap_sequence,telemetry_gap_events_300ms,telemetry_gap_events_500ms,telemetry_gap_events_1000ms,telemetry_quality,telemetry_quality_score,telemetry_state_available,telemetry_h,telemetry_tof,telemetry_baro,telemetry_vgz,telemetry_bat,video_packets_total,video_bytes_total,video_timeouts,video_errors,video_pps_instant,video_pps_ema,video_age_ms,video_packet_delta,video_interarrival_ms,video_max_interarrival_ms,video_last_gap_ms,video_last_gap_sequence,video_gap_events_300ms,video_gap_events_500ms,video_gap_events_1000ms,video_quality,video_quality_score,nal_packets_in,nal_bytes_in,nal_units,nal_sps,nal_pps,nal_idr,nal_non_idr,nal_other,nal_decode_gated,nal_resyncs,nal_buffered_bytes,decoder_nals_in,decoder_packets_sent,decoder_frames_decoded,decoder_errors,decoder_fps_ema,frame_width,frame_height,keyframes,paused,overlay_enabled,recovery_attempted,recovery_result,recovery_hard,recovery_stage,recovery_command_channel_available,event,log_timestamp,log_message,connection_state,last_outage_failures,plot_metric,state_sequence_delta,state_receiver_running,rc_stream_active,rc_left_right,rc_forward_back,rc_up_down,rc_yaw,keepalive_running,auto_refresh_active,critical_command_active,pause_keepalive_ms,neutral_rc_ms,critical_command_ms,gui_vision_tick_delay_ms,gui_state_tick_delay_ms,vision_refresh_duration_ms,state_refresh_duration_ms,frame_convert_ms,frame_scale_ms,plot_paint_ms,vision_frame_mutex_wait_ms,state_history_fetch_ms,ui_frames_converted,ui_frames_dropped,ui_frames_displayed,plot_samples_displayed
,gui,,CONTROL_PANEL,0,1,0,0,0,0,0,0,,,ERROR,,,,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T17:24:17.842,recording started | gui_csv=ON | state_recording=ON,DISCONNECTED,0,pitch,0,0,0,0,0,0,0,0,0,0,0,0,0,124,250,0,0,0,0,0,0,0,0,0,0,0
,gui,,CONTROL_PANEL,0,2,0,0,0,0,0,0,,,ERROR,,,,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,logging:start,,,DISCONNECTED,0,pitch,0,0,0,0,0,0,0,0,0,0,0,0,0,124,250,0,0,0,0,0,0,0,0,0,0,0
,gui,,CONTROL_PANEL,2104,3,0,0,0,0,0,0,,,ERROR,,,,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T17:24:19.946,initialize(attempt=1): OK,DISCONNECTED,0,pitch,0,0,0,0,0,0,0,0,0,0,0,0,0,122,253,0,0,0,0,0,0,0,0,0,0,0
,gui,,CONTROL_PANEL,3021,4,0,0,0,0,0,0,,,ERROR,,,,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T17:24:20.863,"command (enterSdkMode, attempt=1, probe=1): OK",CONNECTED,0,pitch,0,0,0,0,0,0,0,0,0,0,0,0,0,130,241,0,0,0,0,0,0,0,0,0,0,0
,gui,,CONTROL_PANEL,3023,5,0,0,0,0,0,0,,,ERROR,,,,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T17:24:20.865,state receiver start => OK,CONNECTED,0,pitch,0,1,0,0,0,0,0,0,0,0,0,0,0,130,241,0,0,0,0,0,0,0,0,0,0,0
,gui,,CONTROL_PANEL,3023,6,0,0,0,0,0,0,,,ERROR,,,,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T17:24:20.866,sdk keepalive start => OK,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,130,241,0,0,0,0,0,0,0,0,0,0,0
,gui,,CONTROL_PANEL,7821,7,0,0,0,0,0,0,,,ERROR,,,,51,51,0,0,0,10.2849,11.3103,1,97,144,0,0,0,0,0,OK,100,1,0,10,140.32,0,84,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T17:24:25.664,"battery? => OK | response=""84"" | state=CONNECTED",CONNECTED,0,pitch,51,1,0,0,0,0,0,1,0,0,0,0,0,125,249,0,0,0,0,0,0,0,0,0,0,48
,gui,,CONTROL_PANEL,7822,8,1,1,0,3,3,3,battery?,84,OK,manual,,attempt=1|send=OK|raw=84|parsed=OK,51,51,0,0,0,10.2849,11.3103,1,97,144,0,0,0,0,0,OK,100,1,0,10,140.32,0,84,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,command:manual,,,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,125,249,0,0,0,0,0,0,0,0,0,0,48
,gui,,CONTROL_PANEL,10584,9,1,1,0,3,3,3,battery?,84,OK,manual,,attempt=1|send=OK|raw=84|parsed=OK,72,72,0,1,0,47.5824,1085.82,0,21,1187,896,65,3,3,1,OK,100,1,0,10,140.69,0,84,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T17:24:28.426,"wifi? => OK | response=""90"" | state=CONNECTED",CONNECTED,0,pitch,21,1,0,0,0,0,0,1,0,0,0,0,0,360,485,0,0,0,0,0,0,0,0,0,0,72
,gui,,CONTROL_PANEL,10584,10,2,2,0,165.5,3,328,wifi?,90,OK,manual,,attempt=1|send=OK|raw=90|parsed=OK,72,72,0,1,0,47.5824,1085.82,0,21,1187,896,65,3,3,1,OK,100,1,0,10,140.69,0,84,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,command:manual,,,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,360,485,0,0,0,0,0,0,0,0,0,0,72
,gui,,CONTROL_PANEL,12673,11,2,2,0,165.5,3,328,wifi?,90,OK,manual,,attempt=1|send=OK|raw=90|parsed=OK,93,93,0,1,0,10.3453,20.2382,53,96,1187,896,65,3,3,1,OK,100,1,0,10,140.61,0,84,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T17:24:30.515,"speed? => OK | response=""100.0"" | state=CONNECTED",CONNECTED,0,pitch,21,1,0,0,0,0,0,1,0,0,0,0,0,125,250,0,0,0,0,0,0,0,0,0,0,92
,gui,,CONTROL_PANEL,12673,12,3,3,0,117.667,3,328,speed?,100.0,OK,manual,,attempt=1|send=OK|raw=100.0|parsed=OK,93,93,0,1,0,10.3453,20.2382,53,96,1187,896,65,3,3,1,OK,100,1,0,10,140.61,0,84,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,command:manual,,,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,125,250,0,0,0,0,0,0,0,0,0,0,92
,gui,,CONTROL_PANEL,14959,13,3,3,0,117.667,3,328,speed?,100.0,OK,manual,,attempt=1|send=OK|raw=100.0|parsed=OK,117,117,0,1,0,10.3222,10.4468,62,96,1187,896,65,3,3,1,OK,100,1,0,10,140.42,0,84,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T17:24:34.642,panel switched to Operation,CONNECTED,0,pitch,24,1,0,0,0,0,0,1,0,0,0,0,0,125,250,0,0,0,0,0,0,0,0,0,0,116
,gui,,CONTROL_PANEL,19612,14,3,3,0,117.667,3,328,speed?,100.0,OK,manual,,attempt=1|send=OK|raw=100.0|parsed=OK,166,166,0,1,0,8.74988,10.0205,0,114,1187,896,65,3,3,1,OK,100,1,0,10,140.34,0,84,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T17:24:39.302,"streamon (vision) => OK | response=""ok"" | state=CONNECTED",CONNECTED,0,pitch,49,1,0,0,0,0,0,1,0,0,0,0,0,162,262,0,0,0,0,0,0,0,0,0,0,166
,gui,,CONTROL_PANEL,19612,15,4,4,0,103,3,328,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,166,166,0,1,0,8.74988,10.0205,0,114,1187,896,65,3,3,1,OK,100,1,0,10,140.34,0,84,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,command:vision,,,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,162,262,0,0,0,0,0,0,0,0,0,0,166
,gui,,CONTROL_PANEL,19634,16,4,4,0,103,3,328,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,166,166,0,1,0,8.74988,10.0205,22,114,1187,896,65,3,3,1,OK,100,1,0,10,140.34,0,84,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T17:24:39.324,vision pipeline started (ensure streamon is active),CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,162,262,0,0,0,0,0,0,0,0,0,0,166
,gui,,CONTROL_PANEL,19699,17,4,4,0,103,3,328,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,166,166,0,1,0,8.74988,10.0205,88,114,1187,896,65,3,3,1,OK,100,1,0,10,140.34,0,84,19,26431,0,0,426.48,408.166,0,19,2,13,0,0,0,0,0,OK,100,19,26431,1,0,0,0,0,0,0,1,8760,0,0,0,0,0,0,0,0,0,1,0,OK,0,,0,vision,,,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,87,262,0,0,0,0,0,0,0,0,0,0,166
,gui,,CONTROL_PANEL,20700,18,4,4,0,103,3,328,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,177,177,0,1,0,10.4274,14.8756,67,95,1187,896,65,3,3,1,OK,100,1,0,10,140.45,0,84,305,418358,0,0,81.5,379.549,0,286,12,30,0,0,0,0,0,OK,100,305,418358,35,0,0,0,0,0,0,1,1460,30,28,28,2,33.1147,960,720,0,0,1,0,OK,0,,0,vision,,,CONNECTED,0,pitch,11,1,0,0,0,0,0,1,0,0,0,0,0,125,250,2,0,2,0,0,0,0,8,20,6,176
,gui,,CONTROL_PANEL,21824,19,4,4,0,103,3,328,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,189,189,0,1,0,11.6366,17.7081,60,85,1187,896,65,3,3,1,OK,100,1,0,10,140.39,0,84,626,858804,0,0,414.794,397.378,0,321,2,51,0,0,0,0,0,OK,100,626,858804,74,0,0,0,0,0,0,1,10220,69,63,63,6,35.634,960,720,0,0,1,0,OK,0,,0,vision,,,CONNECTED,0,pitch,12,1,0,0,0,0,0,1,0,0,0,0,0,124,250,1,0,2,0,0,0,0,17,46,15,186
,gui,,CONTROL_PANEL,22824,20,4,4,0,103,3,328,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,199,199,0,1,0,13.251,12.673,68,75,1187,896,65,3,3,1,OK,100,1,0,10,140.6,0,84,914,1251918,0,0,106.422,577.086,2,288,9,51,0,0,0,0,0,OK,100,914,1251918,108,0,0,0,0,0,0,1,1460,103,95,95,8,37.5952,960,720,0,0,1,0,OK,0,,0,vision,,,CONNECTED,0,pitch,10,1,0,0,0,0,0,1,0,0,0,0,0,124,250,1,0,2,0,0,0,0,25,70,23,196
